Jahr,Erzeugung
2000,0.064
2001,0.076
2002,0.162
2003,0.313
2004,0.556
2005,1.308
2006,2.265
2007,3.137
2008,4.508
2009,6.715
2010,11.963
2011,19.991
2012,26.744
2013,30.621
2014,35.448
2015,38.076
2016,37.556
2017,38.761
2018,44.32
2019,45.221
2020,49.496
2021,50.472
2022,60.304
