Jahr,PolysilikonPreis
2000,50.79566327985462
2001,49.52577169785826
2002,46.98598853386553
2003,39.13
2004,60.97
2005,151.97
2006,321.23
2007,412.23
2008,441.35
2009,97.37
2010,71.89
2011,66.43
2012,25.48
2013,19.11
2014,22.75
2015,17.29
2016,16.38
2017,17.29
2018,13.65
2019,9.1
2020,9.1
2021,24.57
2022,31.85
2023,20.93
