Jahr,Anschaffungskosten
2010,4662.84
2011,3996.7200000000003
2012,3042.13
2013,2670.85
2014,2413.32
2015,1834.5600000000002
2016,1668.03
2017,1443.26
2018,1233.05
2019,1019.2
2020,894.5300000000001
2021,834.47
2022,797.1600000000001
