Jahr,Investitionen
2000,260
2001,360
2002,680
2003,760
2004,3530
2005,4840
2006,4010
2007,5330
2008,7970
2009,13570
2010,19580
2011,15860
2012,11980
2013,3380
2014,1450
2015,1480
2016,1570
2017,1660
2018,2580
2019,3370
2020,4780
2021,5230
2022,7880
