2003	43
2004	67
2005	167
2006	353
2007	453
2008	485
2009	107
2010	79
2011	73
2012	28
2013	21
2014	25
2015	19
2016	18
2017	19
2018	15
2019	10
2020	10
2021	27
2022	35
2023	23
